id;login;cabinet;dmaj;recordstatus;ddebut;dfin
438;avignolles;labrit;2016-06-16 11:18:55;1;2012-11-06;2016-06-16
636;avignolles;saintpierre;2016-02-25 15:18:22;0;2018-07-27;
439;avignolles;marsan;2015-04-30 18:52:34;0;2012-11-05;
2930;avignolles;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
442;avinson;plelan;2017-10-02 15:14:35;1;2015-03-13;2017-10-02
968;avinson;rennes2;2017-03-13 16:10:14;0;2017-03-13;
441;avinson;baulon;2017-10-02 15:14:11;1;2015-01-15;2017-10-02
969;avinson;rennesanjou;2017-03-13 16:11:13;0;2017-03-13;
3087;avinson;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3538;awyart;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2604;awyart;saintvallier;2018-04-04 17:46:22;0;2018-04-04;
861;bantonita;saintmontanbauvache;2018-06-19 11:19:52;1;2016-11-09;2018-06-19
939;bantonita;bourgstandeol30;2018-06-19 11:11:36;1;2017-02-22;2018-06-19
3315;bantonita;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
943;bantonita;bourgstandeol4;2018-06-19 11:19:12;1;2017-02-22;2018-06-19
857;bantonita;saintmontanchalamel;2018-07-26 20:03:14;1;2016-11-09;2018-07-26
2964;baynes;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2769;bbasset;saintvigorlegrand;2018-08-29 13:30:05;0;2018-08-29;
3605;bbasset;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2768;bbasset;bayeuxbouclier;2018-08-29 13:28:03;0;2018-08-29;
2732;bbasset;bayeux;2018-07-24 15:13:23;0;2018-07-24;
858;bbonnal;saintmontanchalamel;2018-07-26 20:03:17;1;2016-11-09;2018-07-26
938;bbonnal;bourgstandeol30;2018-06-19 11:11:41;1;2017-02-22;2018-06-19
862;bbonnal;saintmontanbauvache;2018-06-19 11:19:54;1;2016-11-09;2018-06-19
3316;bbonnal;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
942;bbonnal;bourgstandeol4;2018-06-19 11:19:14;1;2017-02-22;2018-06-19
3542;bderville;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3653;bdethezy;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2992;bfavard;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
178;bfavard;villerest;2015-04-30 18:52:34;0;2014-10-13;
3394;bflament;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
1044;bflament;bletterans;2017-06-19 09:37:08;0;2017-06-19;
208;bgervais;mouthiers;2015-04-30 18:52:34;0;2014-02-12;
2949;bgervais;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2742;bgosset;chaponnaycentrale;2018-08-13 09:25:42;0;2018-08-13;
2744;bgosset;simandres;2018-08-13 09:33:19;0;2018-08-13;
2743;bgosset;marennes;2018-08-13 09:30:28;0;2018-08-13;
2986;bgosset;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3566;bguibou;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2649;bguibou;baule;2018-05-16 14:01:00;0;2018-05-16;
2939;bjacquier;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
233;bjacquier;Coublevie;2015-04-30 18:52:34;0;2013-12-01;
3650;bjournet;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2856;bjournet;polliat;2018-09-26 15:43:35;0;2018-09-26;
315;bmahler;descartes;2017-04-03 15:33:32;1;2015-09-01;
333;bmenu;pleneuf;2015-04-30 18:52:34;0;2012-10-10;
2888;bmenu;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
332;bmenu;alban;2015-04-30 18:52:34;0;2012-10-30;
3426;bmillet;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
1109;bmillet;chateauneufloire2;2017-08-31 15:02:49;0;2017-08-31;
3104;bnicolas;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
358;bnicolas;labouexiere;2015-04-30 18:52:34;0;2015-05-18;
3248;bpedech;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
719;bpedech;dax;2016-06-03 13:05:21;0;2016-06-03;
749;bperol;soings;2016-07-28 12:26:52;0;2016-07-28;
3263;bperol;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3564;bporacchia;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2647;bporacchia;clermontferrand;2018-05-16 13:27:07;0;2018-05-16;
381;braux;jamme;2017-03-23 14:46:42;1;2014-11-24;2017-03-23
3039;braux;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
642;bzahnd;ruoms;2016-03-04 11:11:00;0;2016-03-04;
3208;bzahnd;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
899;calbinet;parisdoudeauville;2017-01-04 15:28:09;0;2017-01-04;
27;calbinet;barbusse;2017-01-28 08:33:03;1;2015-04-03;2017-01-28
898;calbinet;parisramey;2017-01-04 15:22:44;0;2017-01-04;
3107;calbinet;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
900;calbinet;parishermel;2017-01-04 17:54:46;0;2017-01-04;
29;calbrieux;maurienne;2017-12-01 10:46:44;1;2015-05-22;2017-12-01
3110;calbrieux;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3062;callard;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
634;callard;montaiguesculape;2016-02-25 11:02:17;0;2016-01-20;
34;callard;montaigu;2017-01-03 15:17:50;1;2015-02-02;2017-01-03
33;callard;laguyonniere;2017-01-03 15:18:07;1;2015-02-13;2017-01-03
474;cantunes;belfort;2015-05-22 08:33:38;0;2014-11-24;
3045;cantunes;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
983;cantunez;trainel;2017-04-10 13:16:07;0;2017-04-10;
522;cantunez;marigny;2015-09-07 16:21:52;0;2015-11-16;
3151;cantunez;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
129;catcheve;chateaudun;2015-04-30 18:52:34;0;2013-10-16;
2896;catcheve;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
119;cathcarmo;venissieuxcroizat;2016-12-20 15:39:44;1;2013-10-28;2016-12-20
120;cathcarmo;venissieuxferry;2016-12-20 15:44:08;1;2013-11-20;2016-12-20
2974;cbaudoin;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3482;cbauzac;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2483;cbauzac;Ecully;2018-01-08 15:28:50;0;2018-01-08;
2725;cbegue;espoey;2018-07-23 13:16:06;0;2018-07-23;
615;cbegue;pontacq;2016-02-01 16:09:33;0;2016-02-01;
3196;cbegue;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2944;cbernard;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
